x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
  -75.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0262   -0.0132    0.0209
  -75.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0248   -0.0159    0.0184
  -75.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0224   -0.0184    0.0150
  -75.0000  -55.0000  -10.0000   30.0  90.0   180.0    0.0189   -0.0205    0.0107
  -75.0000  -50.0000  -10.0000   30.0  90.0   180.0    0.0144   -0.0218    0.0057
  -75.0000  -45.0000  -10.0000   30.0  90.0   180.0    0.0089   -0.0220    0.0001
  -75.0000  -40.0000  -10.0000   30.0  90.0   180.0    0.0026   -0.0207   -0.0057
  -75.0000  -35.0000  -10.0000   30.0  90.0   180.0   -0.0039   -0.0176   -0.0109
  -75.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0100   -0.0126   -0.0151
  -75.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0151   -0.0058   -0.0174
  -75.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0185    0.0025   -0.0174
  -75.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0194    0.0116   -0.0148
  -75.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0177    0.0207   -0.0094
  -75.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0133    0.0286   -0.0019
  -75.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0067    0.0346    0.0072
  -75.0000    5.0000  -10.0000   30.0  90.0   180.0    0.0015    0.0379    0.0167
  -75.0000   10.0000  -10.0000   30.0  90.0   180.0    0.0104    0.0382    0.0257
  -75.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0190    0.0355    0.0332
  -75.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0266    0.0301    0.0386
  -75.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0325    0.0227    0.0416
  -75.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0364    0.0139    0.0420
  -75.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0384    0.0045    0.0402
